role,p,mor,ks,n,val,se
Detector,0.2,0,0,100,0.2581244040526866,0.019149619608513198
Detector,0.2,0,1,100,0.26260151096688183,0.019364195740479248
Detector,0.2,0,2,100,0.3591241534904455,0.023015399587021645
Detector,0.2,0,3,100,0.5004784248808498,0.02499997711096334
Detector,0.2,0,4,100,0.5479634608264136,0.024769950642555306
Detector,0.2,0,5,100,0.5741807123412734,0.024449722191654123
Detector,0.2,0,6,100,0.6031368782179917,0.023936278435144714
Detector,0.2,0,7,100,0.5384662231098537,0.024852034967966296
Detector,0.2,0,8,100,0.5353619571120033,0.024874953198920885
Detector,0.2,0,9,100,0.5352434522858804,0.02487578990709729
Detector,0.2,0,10,100,0.5357062934723608,0.024872506060646567
Liar,0.2,0,0,100,7.2264246375511,0.24274011800473466
Liar,0.2,0,1,100,7.154810775895114,0.25519803272021113
Liar,0.2,0,2,100,7.1370183817384305,0.25817132063150383
Liar,0.2,0,3,100,7.181010975262916,0.2485651897459376
Liar,0.2,0,4,100,7.233132778303431,0.23629911413547028
Liar,0.2,0,5,100,7.350444127148658,0.21006650579777095
Liar,0.2,0,6,100,7.4895388982255096,0.17564729222510922
Liar,0.2,0,7,100,8.227226621382712,0.13169751905326593
Liar,0.2,0,8,100,8.721158855821951,0.07808903234564192
Liar,0.2,0,9,100,9.241784644499809,0.028096993058859265
Liar,0.2,0,10,100,9.93393568517405,0.008538268503984916
Detector2,0.2,0,0,100,0.6945364057055067,0.021215558685518252
Detector2,0.2,0,1,100,0.42871520183488776,0.02449184775505592
Detector2,0.2,0,2,100,0.3449514015188257,0.022595993210902356
Detector2,0.2,0,3,100,0.3759554133553321,0.02346129405241535
Detector2,0.2,0,4,100,0.43551580687742963,0.024584178883733106
Detector2,0.2,0,5,100,0.47942218676438125,0.024957655360243997
Detector2,0.2,0,6,100,0.45837413881328015,0.024826728768046393
Detector2,0.2,0,7,100,0.46830139916572716,0.02489951987051494
Detector2,0.2,0,8,100,0.4859902325641304,0.024980372641639288
Detector2,0.2,0,9,100,0.49179592271116745,0.024993269311583886
Detector2,0.2,0,10,100,0.49758040807425613,0.02499941455749129
Detector,0.2,11,0,100,0.03230080054758598,0.003125745883157105
Detector,0.2,11,1,100,0.03226438319496128,0.0031223392772009974
Detector,0.2,11,2,100,0.03231049867732894,0.0031266530352551266
Detector,0.2,11,3,100,0.03273714557325944,0.0031665424872974663
Detector,0.2,11,4,100,0.03799774242982991,0.003655391400006621
Detector,0.2,11,5,100,0.20543800183162123,0.0163233229235052
Detector,0.2,11,6,100,0.4076659991302532,0.02414744322833856
Detector,0.2,11,7,100,0.42181363708303987,0.024388689265381742
Detector,0.2,11,8,100,0.5200751492104138,0.024959698838417962
Detector,0.2,11,9,100,0.5208350350830706,0.02495659013130872
Detector,0.2,11,10,100,0.5208490725991044,0.024956531617175728
Liar,0.2,11,0,100,7.717023622042123,0.23492857127005357
Liar,0.2,11,1,100,7.110838697396249,0.2957489574112637
Liar,0.2,11,2,100,6.599688462476227,0.3225921115150161
Liar,0.2,11,3,100,6.316601571777687,0.2787954172485824
Liar,0.2,11,4,100,5.8727420294992525,0.1706259226415676
Liar,0.2,11,5,100,5.212129054133789,0.023502337326743
Liar,0.2,11,6,100,6.0104871201345365,0.002036551774668884
Liar,0.2,11,7,100,7.008481736419354,0.0016675329411957643
Liar,0.2,11,8,100,8.00375246274556,3.668526634404595e-4
Liar,0.2,11,9,100,9.000353274272216,3.471807591411098e-5
Liar,0.2,11,10,100,9.999970210378558,2.8438819466403513e-6
Detector2,0.2,11,0,100,0.0010518347116928181,1.0507283554320963e-4
Detector2,0.2,11,1,100,4.274196997712337e-4,4.272370121714812e-5
Detector2,0.2,11,2,100,7.38801587723986e-4,7.382557599379626e-5
Detector2,0.2,11,3,100,0.003567945840797577,3.5552156032747124e-4
Detector2,0.2,11,4,100,0.02687111900112802,0.0026149061964755235
Detector2,0.2,11,5,100,0.16206069079978216,0.013579702329727958
Detector2,0.2,11,6,100,0.35770094402585795,0.0229750978668868
Detector2,0.2,11,7,100,0.32413694824376343,0.021907218702698326
Detector2,0.2,11,8,100,0.3646425741472478,0.023167836726651667
Detector2,0.2,11,9,100,0.49726663481917194,0.024999252871478826
Detector2,0.2,11,10,100,0.5440130332397283,0.024806285290503858
Detector,0.2,19,0,100,0.035301028932855943,0.0034054866289137615
Detector,0.2,19,1,100,0.03530109438727221,0.003405492712233311
Detector,0.2,19,2,100,0.03530164938701784,0.00340554429375739
Detector,0.2,19,3,100,0.03530634602984548,0.0034059807959866293
Detector,0.2,19,4,100,0.03535662233525253,0.0034106531592294855
Detector,0.2,19,5,100,0.03593014305749263,0.0034639167877360743
Detector,0.2,19,6,100,0.04099640566236593,0.003931570038513266
Detector,0.2,19,7,100,0.07902489777585946,0.007277996330737442
Detector,0.2,19,8,100,0.3694657569593179,0.023296081139379615
Detector,0.2,19,9,100,0.3921898178754893,0.023837696463027986
Detector,0.2,19,10,100,0.39679339859605944,0.02393483974266481
Liar,0.2,19,0,100,2.7417080377037233,0.2644464235463223
Liar,0.2,19,1,100,1.9871428603431838,0.10821517475742803
Liar,0.2,19,2,100,2.2420234410089814,0.027586219330561535
Liar,0.2,19,3,100,3.049708929966676,0.005736995859009747
Liar,0.2,19,4,100,4.009549357044687,0.0011101134263054268
Liar,0.2,19,5,100,5.001754143158049,2.0549536211557124e-4
Liar,0.2,19,6,100,6.000299240341802,3.535590238634376e-5
Liar,0.2,19,7,100,7.000037875393983,4.424236329190701e-6
Liar,0.2,19,8,100,8.000001777977284,3.856950560352727e-7
Liar,0.2,19,9,100,9.000000683854253,8.584284017455249e-8
Liar,0.2,19,10,100,9.999999954287981,5.233531287778596e-9
Detector2,0.2,19,0,100,5.925729093714725e-7,5.925725582288195e-8
Detector2,0.2,19,1,100,9.730271579545083e-7,9.73026211172658e-8
Detector2,0.2,19,2,100,4.717675498849787e-6,4.7176532423876744e-7
Detector2,0.2,19,3,100,3.12610179662467e-5,3.126004071500242e-6
Detector2,0.2,19,4,100,2.735931209506013e-4,2.735182677547698e-5
Detector2,0.2,19,5,100,0.002633414589415436,2.6264797170156895e-4
Detector2,0.2,19,6,100,0.01848708087763791,0.0018145308718261585
Detector2,0.2,19,7,100,0.06568133387592764,0.0061367296256206565
Detector2,0.2,19,8,100,0.15051245729103724,0.012785845749125094
Detector2,0.2,19,9,100,0.33960661033046424,0.022427396055031645
Detector2,0.2,19,10,100,0.5033441471953723,0.024998881667953568
Detector,0.5,0,0,100,0.23678467075070064,0.018071769044818293
Detector,0.5,0,1,100,0.37863714318131725,0.02352710569848079
Detector,0.5,0,2,100,0.4376542180557265,0.024611300347375707
Detector,0.5,0,3,100,0.45253460205029894,0.024774703599747653
Detector,0.5,0,4,100,0.4548220518078151,0.024795895299714425
Detector,0.5,0,5,100,0.45845020852437024,0.02482736148283317
Detector,0.5,0,6,100,0.4663287153997024,0.024886624459336572
Detector,0.5,0,7,100,0.470608171045668,0.024913612039071928
Detector,0.5,0,8,100,0.4743154654478854,0.024934030468484122
Detector,0.5,0,9,100,0.48444407775458864,0.024975801328309472
Detector,0.5,0,10,100,0.4974146164130298,0.024999331579170826
Liar,0.5,0,0,100,6.468329665575352,0.3089892308860424
Liar,0.5,0,1,100,5.510282197335516,0.40524649023475157
Liar,0.5,0,2,100,5.797294179685142,0.3763921435291754
Liar,0.5,0,3,100,6.274360977286733,0.3284351921824696
