role,p,mor,ks,n,val,se
Detector,0.2,-5,0,100,0.442359764089621,0.024667760320419584
Detector,0.2,-5,1,100,0.50873535901574,0.024992369350286613
Detector,0.2,-5,2,100,0.47874577314352407,0.024954825784073344
Detector,0.2,-5,3,100,0.4855919763995234,0.024979240885592814
Detector,0.2,-5,4,100,0.494390510817691,0.02499685336311136
Detector,0.2,-5,5,100,0.46776655853636806,0.02489610052514106
Detector,0.2,-5,6,100,0.4757645799282907,0.02494126444139478
Detector,0.2,-5,7,100,0.47668988518036426,0.02494566385470954
Detector,0.2,-5,8,100,0.4770919115919988,0.02494752194854912
Detector,0.2,-5,9,100,0.4774201349127777,0.024949014969264282
Detector,0.2,-5,10,100,0.47775553164054596,0.024950518362740527
Liar,0.2,-5,0,100,6.656636667135333,0.2866871728276891
Liar,0.2,-5,1,100,6.5049602532227935,0.2964173871656678
Liar,0.2,-5,2,100,6.312819677168031,0.31609818266754225
Liar,0.2,-5,3,100,6.4204603914233225,0.3050866294796229
Liar,0.2,-5,4,100,6.125322443797269,0.33164884793140076
Liar,0.2,-5,5,100,7.061678813904198,0.24668937257134158
Liar,0.2,-5,6,100,7.669370327758638,0.19261869306426654
Liar,0.2,-5,7,100,8.245115426218097,0.1418471423874706
Liar,0.2,-5,8,100,8.819108455823711,0.09299534389411827
Liar,0.2,-5,9,100,9.415606222447847,0.0471492856023255
Liar,0.2,-5,10,100,9.536369278172279,0.05296492813972783
Detector2,0.2,-5,0,100,0.9907901027008197,9.125075090918866e-4
Detector2,0.2,-5,1,100,0.7531821030016226,0.01858988227196758
Detector2,0.2,-5,2,100,0.5743330988863858,0.024447459040994678
Detector2,0.2,-5,3,100,0.55986210740806,0.02464165280966659
Detector2,0.2,-5,4,100,0.5668804759201319,0.024552700194069667
Detector2,0.2,-5,5,100,0.6220009796238322,0.02351157609708253
Detector2,0.2,-5,6,100,0.6322161524827669,0.023251888902265375
Detector2,0.2,-5,7,100,0.6382442152645346,0.023088853694589302
Detector2,0.2,-5,8,100,0.6392331301419073,0.023061413547088672
Detector2,0.2,-5,9,100,0.6392421416628107,0.023061162598515376
Detector2,0.2,-5,10,100,0.6378249953983524,0.023100427064344415
Detector,0.2,-4,0,100,0.45553837541923653,0.024802316393963922
Detector,0.2,-4,1,100,0.5298487652064914,0.024910905121564776
Detector,0.2,-4,2,100,0.5763434652229268,0.02441716753177558
Detector,0.2,-4,3,100,0.5861362079089192,0.024258055368707145
Detector,0.2,-4,4,100,0.5913744150937748,0.024165071626627056
Detector,0.2,-4,5,100,0.6045647987470217,0.023906620286299484
Detector,0.2,-4,6,100,0.5258994589230004,0.02493292180274958
Detector,0.2,-4,7,100,0.5273174084200635,0.024925375919721143
Detector,0.2,-4,8,100,0.5275830216846058,0.024923917691474656
Detector,0.2,-4,9,100,0.5277152610017203,0.024923186430760653
Detector,0.2,-4,10,100,0.5278214697827555,0.024922596581912725
Liar,0.2,-4,0,100,6.954215361886641,0.25837543074321884
Liar,0.2,-4,1,100,6.829207796450977,0.2713023222687738
Liar,0.2,-4,2,100,6.781020703811166,0.2789274613782423
Liar,0.2,-4,3,100,6.850252451006324,0.269585228096653
Liar,0.2,-4,4,100,6.8690259962087135,0.26870699114824104
Liar,0.2,-4,5,100,6.696313673885073,0.2808571565344224
Liar,0.2,-4,6,100,7.661234539079169,0.19338118031420481
