role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,0,50,0.49527602847504304,0.035352183113498206,-10
Detector,0.2,NA,1,50,0.4677839864302956,0.035208561859908956,-10
Detector,0.2,NA,2,50,0.4654210237101749,0.03518624075153773,-10
Detector,0.2,NA,3,50,0.4685017488208542,0.035215029299367255,-10
Detector,0.2,NA,4,50,0.48271930768788973,0.035313107484870584,-10
Detector,0.2,NA,5,50,0.5494801158423518,0.035009099717701456,-10
Detector,0.2,NA,6,50,0.7579994642166086,0.025941807000652864,-10
Detector,0.2,NA,7,50,0.8939778799027509,0.01340411839754773,-10
Detector,0.2,NA,8,50,0.8875724427843019,0.014112097953121346,-10
Detector,0.2,NA,9,50,0.770615610454245,0.024998655943004166,-10
Detector,0.2,NA,10,50,0.4755964056485341,0.035271117632929574,-10
Liar,0.2,NA,0,50,0.7851117787165558,0.09150965424796492,-10
Liar,0.2,NA,1,50,0.5762293718485745,0.05023774129270355,-10
Liar,0.2,NA,2,50,1.0267071280176578,0.11490196567638182,-10
Liar,0.2,NA,3,50,1.4781640046777869,0.1811185351987931,-10
Liar,0.2,NA,4,50,1.9111169130257712,0.2516243665839868,-10
Liar,0.2,NA,5,50,2.3041300837744356,0.318695635659489,-10
Liar,0.2,NA,6,50,2.4966255768377703,0.3520554207145218,-10
Liar,0.2,NA,7,50,2.412477568221749,0.33728745158501816,-10
Liar,0.2,NA,8,50,2.2753764478486533,0.31329668951316264,-10
Liar,0.2,NA,9,50,2.1672224332830488,0.29437959432440025,-10
Liar,0.2,NA,10,50,2.1729090059412313,0.29537255460114903,-10
Detector2,0.2,NA,0,50,0.5772177938920052,0.03451210182102189,-10
Detector2,0.2,NA,1,50,0.5573851185116158,0.03488963120385096,-10
Detector2,0.2,NA,2,50,0.5556450650868044,0.03491744575227707,-10
Detector2,0.2,NA,3,50,0.562353929952498,0.03480549104712237,-10
Detector2,0.2,NA,4,50,0.5838354772078094,0.03436137500387492,-10
Detector2,0.2,NA,5,50,0.6384366228821391,0.032645041397798426,-10
Detector2,0.2,NA,6,50,0.7390452783879794,0.027274148687528164,-10
Detector2,0.2,NA,7,50,0.8685641601660985,0.016144727059397398,-10
Detector2,0.2,NA,8,50,0.9655121235110053,0.004709113778883385,-10
Detector2,0.2,NA,9,50,0.9953951531139295,6.482249065034981e-4,-10
Detector2,0.2,NA,10,50,0.9995962619893064,5.707412473616913e-5,-10
Detector,0.2,NA,0,50,0.5407343986230784,0.035120679843020676,-9
Detector,0.2,NA,1,50,0.5210361232982159,0.03529275749524236,-9
Detector,0.2,NA,2,50,0.519262210747127,0.03530286710279428,-9
Detector,0.2,NA,3,50,0.521618773850893,0.03528924276450302,-9
