role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,0,50,0.4645665094241046,0.03517777998511156,-10
Detector,0.2,NA,1,50,0.45300374738254656,0.03504298909764587,-10
Detector,0.2,NA,2,50,0.4521398379607987,0.03503139999222143,-10
Detector,0.2,NA,3,50,0.45332823089792795,0.035047287420017406,-10
Detector,0.2,NA,4,50,0.4589774650605567,0.03511734836009607,-10
Detector,0.2,NA,5,50,0.4860697942987897,0.0353278961559299,-10
Detector,0.2,NA,6,50,0.5999091992308325,0.033943692564550966,-10
Detector,0.2,NA,7,50,0.8786692874083717,0.015076870086685037,-10
Detector,0.2,NA,8,50,0.9196323315207877,0.010452269488691166,-10
Detector,0.2,NA,9,50,0.8314796307485215,0.019816137834754735,-10
Detector,0.2,NA,10,50,0.4758964974158442,0.0352731762442785,-10
Liar,0.2,NA,0,50,0.7030843734238555,0.08202413052383005,-10
Liar,0.2,NA,1,50,0.44431700608490216,0.06482918493776721,-10
Liar,0.2,NA,2,50,0.909192190280452,0.12731694086457937,-10
Liar,0.2,NA,3,50,1.3309657383706284,0.19503740867179284,-10
Liar,0.2,NA,4,50,1.7391305138750535,0.26506030433425637,-10
Liar,0.2,NA,5,50,2.138839986667533,0.33472521756326584,-10
Liar,0.2,NA,6,50,2.40377826614919,0.3810389295179059,-10
Liar,0.2,NA,7,50,2.27911233299128,0.3592224504347407,-10
Liar,0.2,NA,8,50,2.102473587590846,0.3283168284954317,-10
Liar,0.2,NA,9,50,1.992328443275694,0.3090456815068793,-10
Liar,0.2,NA,10,50,1.994587893863706,0.30944096576212093,-10
Detector2,0.2,NA,0,50,0.5720557022420187,0.034621075951727406,-10
Detector2,0.2,NA,1,50,0.5549079106327203,0.03492897083174629,-10
Detector2,0.2,NA,2,50,0.5534085416699419,0.034951938554735495,-10
Detector2,0.2,NA,3,50,0.5591679218691605,0.034860245097360194,-10
Detector2,0.2,NA,4,50,0.5772068988606607,0.03451233975706108,-10
Detector2,0.2,NA,5,50,0.6185083390592087,0.03336918551077765,-10
Detector2,0.2,NA,6,50,0.6882796573621718,0.030342060963347035,-10
Detector2,0.2,NA,7,50,0.8236165724743797,0.020544607672431457,-10
Detector2,0.2,NA,8,50,0.9611731822418785,0.005277745451440323,-10
Detector2,0.2,NA,9,50,0.9969193360458131,4.343295164889781e-4,-10
Detector2,0.2,NA,10,50,0.9999227860604735,1.0918856895208657e-5,-10
Detector,0.2,NA,0,50,0.5162909434939158,0.03531780656112723,-9
Detector,0.2,NA,1,50,0.5080853331034847,0.035346093975963215,-9
Detector,0.2,NA,2,50,0.5074292202604548,0.03534753354605175,-9
Detector,0.2,NA,3,50,0.5083373348014751,0.03534550869799563,-9
Detector,0.2,NA,4,50,0.5124671905134736,0.03533335781923257,-9
Detector,0.2,NA,5,50,0.5297763575821305,0.03522995043423583,-9
Detector,0.2,NA,6,50,0.5743564329784012,0.034573437474959334,-9
Detector,0.2,NA,7,50,0.7014778562107377,0.029614575765393492,-9
Detector,0.2,NA,8,50,0.919583888927698,0.01045801880562081,-9
Detector,0.2,NA,9,50,0.8572471752685428,0.017306361502756183,-9
Detector,0.2,NA,10,50,0.49167255150459993,0.03534553199760932,-9
Liar,0.2,NA,0,50,0.7223850314106578,0.0807995326886359,-9
Liar,0.2,NA,1,50,0.4216737949923622,0.06468460159834663,-9
Liar,0.2,NA,2,50,0.8661648394624313,0.12683487950600394,-9
Liar,0.2,NA,3,50,1.2666603685128093,0.19398087625069754,-9
Liar,0.2,NA,4,50,1.6523534739888535,0.2630375631967688,-9
Liar,0.2,NA,5,50,2.0328193988714482,0.33221449895642013,-9
Liar,0.2,NA,6,50,2.3530096589231646,0.3906046628004901,-9
Liar,0.2,NA,7,50,2.331255439347699,0.3866304010966271,-9
Liar,0.2,NA,8,50,2.0604658486461713,0.337217310135041,-9
Liar,0.2,NA,9,50,1.9032620067130364,0.3085313505518225,-9
Liar,0.2,NA,10,50,1.8980375120938402,0.3075779931535194,-9
Detector2,0.2,NA,0,50,0.5301775456254909,0.03522654885617723,-9
Detector2,0.2,NA,1,50,0.5139828237807341,0.03532768844614064,-9
Detector2,0.2,NA,2,50,0.5125744364336894,0.035332978016295154,-9
Detector2,0.2,NA,3,50,0.5180363062470015,0.03530933351225996,-9
Detector2,0.2,NA,4,50,0.5351932044450721,0.035180179992540556,-9
Detector2,0.2,NA,5,50,0.5736931019873736,0.03458732587871431,-9
Detector2,0.2,NA,6,50,0.625916308107014,0.033113115244036644,-9
Detector2,0.2,NA,7,50,0.7121897538164648,0.028987914389868058,-9
Detector2,0.2,NA,8,50,0.89155553218049155,0.013673219914057788,-9
Detector2,0.2,NA,9,50,0.989324722700691,0.0014935955975658424,-9
Detector2,0.2,NA,10,50,0.9997267745457692,3.862935688774083e-5,-9
Detector,0.2,NA,0,50,0.5212743591433936,0.03529133198585502,-8
Detector,0.2,NA,1,50,0.5164099920109461,0.035317256008087584,-8
Detector,0.2,NA,2,50,0.5159963267006965,0.035319151813677424,-8
Detector,0.2,NA,3,50,0.5165709261242516,0.03531650537820291,-8
Detector,0.2,NA,4,50,0.5190867488974183,0.035303818695901955,-8
Detector,0.2,NA,5,50,0.5287351037178252,0.035238566570695795,-8
Detector,0.2,NA,6,50,0.5477252827182438,0.03503322326704007,-8
Detector,0.2,NA,7,50,0.5677312518111195,0.03470656540958196,-8
Detector,0.2,NA,8,50,0.7034649825055996,0.029500777880245365,-8
Detector,0.2,NA,9,50,0.7649426243747972,0.025428324345536036,-8
Detector,0.2,NA,10,50,0.45112489760277463,0.03501751516937248,-8
Liar,0.2,NA,0,50,0.5329672597135173,0.082493861635403,-8
Liar,0.2,NA,1,50,0.5682475071764225,0.06682989470638236,-8
Liar,0.2,NA,2,50,1.154290741357014,0.13091285390917198,-8
Liar,0.2,NA,3,50,1.7084822279049943,0.1999656974459529,-8
Liar,0.2,NA,4,50,2.2521591091655417,0.27077640445249124,-8
Liar,0.2,NA,5,50,2.792527341154507,0.3418643715701425,-8
Liar,0.2,NA,6,50,3.297815067708074,0.40846389387605353,-8
Liar,0.2,NA,7,50,3.489409289785183,0.4337229071826583,-8
Liar,0.2,NA,8,50,3.0273961708697437,0.3728054743186882,-8
Liar,0.2,NA,9,50,2.6379919591816416,0.3214620422004235,-8
Liar,0.2,NA,10,50,2.6025434608333136,0.3167881144166976,-8
Detector2,0.2,NA,0,50,0.45013115751842964,0.03500363808337596,-8
Detector2,0.2,NA,1,50,0.43392922284584734,0.03473798568217145,-8
Detector2,0.2,NA,2,50,0.4325235465395431,0.03471143747434172,-8
Detector2,0.2,NA,3,50,0.43802614962356506,0.03481217383553531,-8
Detector2,0.2,NA,4,50,0.455374478755392,0.03507370731722879,-8
Detector2,0.2,NA,5,50,0.4943786978489768,0.035350870280535567,-8
Detector2,0.2,NA,6,50,0.5422211794187198,0.035103237391101764,-8
Detector2,0.2,NA,7,50,0.5921321700682113,0.034154906962320174,-8
Detector2,0.2,NA,8,50,0.7491733455973242,0.026574860946533857,-8
Detector2,0.2,NA,9,50,0.9615010235389521,0.005234966805209285,-8
Detector2,0.2,NA,10,50,0.9989478833028823,1.4863522392045332e-4,-8
Detector,0.2,NA,0,50,0.4185572677813866,0.034417302710686715,-7
Detector,0.2,NA,1,50,0.4135660955139488,0.034298805584684754,-7
Detector,0.2,NA,2,50,0.4131166684267349,0.034287789785849475,-7
Detector,0.2,NA,3,50,0.41374267012910193,0.03430311793029622,-7
Detector,0.2,NA,4,50,0.4163902250129102,0.03436671970799527,-7
Detector,0.2,NA,5,50,0.42583301312433675,0.034577416673547905,-7
Detector,0.2,NA,6,50,0.4421431973078969,0.03488194385130294,-7
Detector,0.2,NA,7,50,0.44694140923028147,0.034957207669646106,-7
Detector,0.2,NA,8,50,0.4786955783243362,0.035291150962845984,-7
Detector,0.2,NA,9,50,0.705550867890429,0.029380122809865048,-7
Detector,0.2,NA,10,50,0.4639490332728569,0.035171537653862044,-7
Liar,0.2,NA,0,50,0.6213657569267308,0.08192911260634678,-7
Liar,0.2,NA,1,50,0.4913965879751983,0.06706174210337361,-7
Liar,0.2,NA,2,50,1.0027160973171867,0.13149696969789348,-7
Liar,0.2,NA,3,50,1.4783981232040113,0.2006445530308223,-7
Liar,0.2,NA,4,50,1.9420168108902955,0.2714235998191502,-7
Liar,0.2,NA,5,50,2.402596381855131,0.34252991102104696,-7
Liar,0.2,NA,6,50,2.851329288355989,0.4119570018484873,-7
Liar,0.2,NA,7,50,3.1694454391861684,0.46119153525715273,-7
Liar,0.2,NA,8,50,2.898523472166318,0.4192570166000989,-7
Liar,0.2,NA,9,50,2.3355966524034026,0.3321260886363532,-7
Liar,0.2,NA,10,50,2.242734150909761,0.3177526580543664,-7
Detector2,0.2,NA,0,50,0.6927298628619472,0.03010227106067874,-7
Detector2,0.2,NA,1,50,0.6861539036175089,0.030454625793095148,-7
Detector2,0.2,NA,2,50,0.6855540585384265,0.03048615811577785,-7
Detector2,0.2,NA,3,50,0.6883048388153592,0.030340719872423587,-7
Detector2,0.2,NA,4,50,0.6966629648853633,0.02988568118211093,-7
Detector2,0.2,NA,5,50,0.7154433634968483,0.028791147609070332,-7
Detector2,0.2,NA,6,50,0.737793361642892,0.027358571902527978,-7
Detector2,0.2,NA,7,50,0.7530930175898335,0.026296441979421048,-7
Detector2,0.2,NA,8,50,0.7960215352538825,0.022962762483124583,-7
Detector2,0.2,NA,9,50,0.939265624194636,0.008067481873836978,-7
Detector2,0.2,NA,10,50,0.9979648062310984,2.872340938120343e-4,-7
Detector,0.2,NA,0,50,0.44317828058325254,0.034898730823714405,-6
Detector,0.2,NA,1,50,0.4401718080305741,0.034849133681361104,-6
Detector,0.2,NA,2,50,0.4398861973573302,0.03484428905043084,-6
Detector,0.2,NA,3,50,0.44028462195931684,0.03485104091519729,-6
Detector,0.2,NA,4,50,0.4419150463927368,0.03487820294278548,-6
Detector,0.2,NA,5,50,0.4473474395043049,0.03496327774687597,-6
Detector,0.2,NA,6,50,0.45597622589743625,0.03508125136312661,-6
