role,p,mor,ks,n,val
Liar,0.2,-5,0,100,9.362816643568172
Liar,0.2,-5,1,100,9.36327998092878
Liar,0.2,-5,2,100,9.364094949458083
Liar,0.2,-5,3,100,9.365024174260114
Liar,0.2,-5,4,100,9.363786000414947
Liar,0.2,-5,5,100,9.349690826034786
Liar,0.2,-5,6,100,9.284975062122868
Liar,0.2,-5,7,100,9.085960811978197
Liar,0.2,-5,8,100,8.819253612469778
Liar,0.2,-5,9,100,9.087356233515088
Liar,0.2,-5,10,100,9.959038873724253
Liar,0.2,-4,0,100,9.362768088898905
Liar,0.2,-4,1,100,9.363085596547947
Liar,0.2,-4,2,100,9.363327826557162
Liar,0.2,-4,3,100,9.362053131278328
Liar,0.2,-4,4,100,9.352585173441131
Liar,0.2,-4,5,100,9.309403721361473
Liar,0.2,-4,6,100,9.1554362886278
Liar,0.2,-4,7,100,8.788552125867215
Liar,0.2,-4,8,100,8.54344397536973
Liar,0.2,-4,9,100,9.045693792028366
Liar,0.2,-4,10,100,9.980392488317136
Liar,0.2,-3,0,100,9.362665300324789
Liar,0.2,-3,1,100,9.362674114621893
Liar,0.2,-3,2,100,9.361704354559546
Liar,0.2,-3,3,100,9.355772575348482
Liar,0.2,-3,4,100,9.329026686047202
Liar,0.2,-3,5,100,9.226530815078247
Liar,0.2,-3,6,100,8.91231297293348
Liar,0.2,-3,7,100,8.373870961876786
Liar,0.2,-3,8,100,8.317300917265078
Liar,0.2,-3,9,100,9.022737167298711
Liar,0.2,-3,10,100,9.990679166148094
Liar,0.2,-2,0,100,9.362447704357848
Liar,0.2,-2,1,100,9.36180314095944
Liar,0.2,-2,2,100,9.358269825174906
Liar,0.2,-2,3,100,9.342517465566607
Liar,0.2,-2,4,100,9.279831260660128
Liar,0.2,-2,5,100,9.061193847473707
Liar,0.2,-2,6,100,8.503895547317585
Liar,0.2,-2,7,100,7.921545977890813
Liar,0.2,-2,8,100,8.1686921890335
Liar,0.2,-2,9,100,9.011018291473167
Liar,0.2,-2,10,100,9.995583883789866
Liar,0.2,-1,0,100,9.36198708706086
Liar,0.2,-1,1,100,9.359959888150073
Liar,0.2,-1,2,100,9.35100948935611
Liar,0.2,-1,3,100,9.314638009194566
Liar,0.2,-1,4,100,9.178623909446591
Liar,0.2,-1,5,100,8.750590297150657
Liar,0.2,-1,6,100,7.930700947817371
Liar,0.2,-1,7,100,7.543047923759953
Liar,0.2,-1,8,100,8.084705985413027
Liar,0.2,-1,9,100,9.005269099210437
Liar,0.2,-1,10,100,9.997911001201867
Liar,0.2,0,0,100,9.361012109756942
Liar,0.2,0,1,100,9.35606040186105
Liar,0.2,0,2,100,9.335686530835671
Liar,0.2,0,3,100,9.256418401401751
Liar,0.2,0,4,100,8.976670242979676
Liar,0.2,0,5,100,8.227952626251556
Liar,0.2,0,6,100,7.300462809783447
Liar,0.2,0,7,100,7.2904782746395185
Liar,0.2,0,8,100,8.041239855535347
Liar,0.2,0,9,100,9.002503585352564
Liar,0.2,0,10,100,9.999012562033643
Liar,0.2,1,0,100,9.358948752646585
Liar,0.2,1,1,100,9.347817179886817
Liar,0.2,1,2,100,9.30345766517481
Liar,0.2,1,3,100,9.136641674112674
Liar,0.2,1,4,100,8.597140344825917
Liar,0.2,1,5,100,7.4926276028328935
Liar,0.2,1,6,100,6.769026055880529
Liar,0.2,1,7,100,7.14636548234822
Liar,0.2,1,8,100,8.019766793922182
Liar,0.2,1,9,100,9.00118590477816
Liar,0.2,1,10,100,9.99953341884646
Liar,0.2,2,0,100,9.354583625331966
Liar,0.2,2,1,100,9.330419826927809
Liar,0.2,2,2,100,9.236154890174344
Liar,0.2,2,3,100,8.89761628599921
Liar,0.2,2,4,100,7.958117134638028
Liar,0.2,2,5,100,6.681650244530663
Liar,0.2,2,6,100,6.412320691416732
Liar,0.2,2,7,100,7.0713876547755
Liar,0.2,2,8,100,8.009402485040706
Liar,0.2,2,9,100,9.00056091993991
Liar,0.2,2,10,100,9.99977956952184
Liar,0.2,3,0,100,9.34535607207255
Liar,0.2,3,1,100,9.29382782902888
Liar,0.2,3,2,100,9.097689162510802
Liar,0.2,3,3,100,8.448354493722952
Liar,0.2,3,4,100,7.058179035120422
Liar,0.2,3,5,100,5.99578595880767
Liar,0.2,3,6,100,6.208037870320213
Liar,0.2,3,7,100,7.034247491338479
Liar,0.2,3,8,100,8.004456143275888
Liar,0.2,3,9,100,9.000265124850158
Liar,0.2,3,10,100,9.999895868617159
Liar,0.2,4,0,100,9.32588127940783
Liar,0.2,4,1,100,9.21741342471166
Liar,0.2,4,2,100,8.821360275909374
Liar,0.2,4,3,100,7.691735327408639
Liar,0.2,4,4,100,6.064478966285215
Liar,0.2,4,5,100,5.534385489166543
Liar,0.2,4,6,100,6.101538346550239
