role,p,mor,ks,n,val
Liar,0.2,-5,0,100,9.60254356459837
Liar,0.2,-5,1,100,9.602588980848399
Liar,0.2,-5,2,100,9.602709410701769
Liar,0.2,-5,3,100,9.60294735293931
Liar,0.2,-5,4,100,9.602856615401336
Liar,0.2,-5,5,100,9.597809611526143
Liar,0.2,-5,6,100,9.557234180315389
Liar,0.2,-5,7,100,9.3399565252598
Liar,0.2,-5,8,100,8.846597580838345
Liar,0.2,-5,9,100,9.07703016970969
Liar,0.2,-5,10,100,9.992384811530696
Liar,0.2,-4,0,100,9.602541799159493
Liar,0.2,-4,1,100,9.602577294295216
Liar,0.2,-4,2,100,9.602633094247523
Liar,0.2,-4,3,100,9.602457612439093
Liar,0.2,-4,4,100,9.599787459985198
Liar,0.2,-4,5,100,9.57928440274478
Liar,0.2,-4,6,100,9.45514688238558
Liar,0.2,-4,7,100,8.95192656916062
Liar,0.2,-4,8,100,8.45440779134569
Liar,0.2,-4,9,100,9.030287294202344
Liar,0.2,-4,10,100,9.997188845333055
Liar,0.2,-3,0,100,9.602537000202352
Liar,0.2,-3,1,100,9.602545527110522
Liar,0.2,-3,2,100,9.602425652359443
Liar,0.2,-3,3,100,9.60112672680209
Liar,0.2,-3,4,100,9.591461598127246
Liar,0.2,-3,5,100,9.529673909194694
Liar,0.2,-3,6,100,9.205113953046048
Liar,0.2,-3,7,100,8.345444721116257
Liar,0.2,-3,8,100,8.201131681791601
Liar,0.2,-3,9,100,9.011431378014512
Liar,0.2,-3,10,100,9.998964517283843
Liar,0.2,-2,0,100,9.6025239553086
Liar,0.2,-2,1,100,9.602459176135289
Liar,0.2,-2,2,100,9.601861824049543
Liar,0.2,-2,3,100,9.597511714593267
Liar,0.2,-2,4,100,9.56895417459734
Liar,0.2,-2,5,100,9.400095537282883
Liar,0.2,-2,6,100,8.678272500350086
Liar,0.2,-2,7,100,7.729398206841243
Liar,0.2,-2,8,100,8.079969473961619
Liar,0.2,-2,9,100,9.00424592617079
Liar,0.2,-2,10,100,9.999618888689463
Liar,0.2,-1,0,100,9.60248849579008
Liar,0.2,-1,1,100,9.602224458609019
Liar,0.2,-1,2,100,9.600329602362743
