"","subjID","trialNumber","role","util","p","k","ksay","callBS","lie"
"1","sona-29975",2,"receiver","red",0.2,3,4,FALSE,1
"2","sona-29975",4,"receiver","red",0.2,3,9,TRUE,1
"3","sona-29975",6,"receiver","red",0.2,1,4,FALSE,1
"4","sona-29975",8,"receiver","red",0.2,4,4,FALSE,0
"5","sona-29975",10,"receiver","red",0.2,2,2,FALSE,0
"6","sona-29975",12,"receiver","red",0.2,1,3,FALSE,1
"7","sona-29975",14,"receiver","red",0.2,2,9,TRUE,1
"8","sona-29975",16,"receiver","red",0.2,2,3,FALSE,1
"9","sona-29975",18,"receiver","red",0.2,1,6,FALSE,1
"10","sona-29975",20,"receiver","red",0.2,2,2,TRUE,0
"11","sona-29975",22,"receiver","red",0.2,3,3,FALSE,0
"12","sona-29975",24,"receiver","red",0.2,2,0,FALSE,1
"13","sona-29975",26,"receiver","red",0.2,5,5,FALSE,0
"14","sona-29975",28,"receiver","red",0.2,0,4,FALSE,1
"15","sona-29975",30,"receiver","red",0.2,1,2,TRUE,1
"16","sona-29975",32,"receiver","red",0.2,2,0,TRUE,1
"17","sona-29975",34,"receiver","red",0.2,3,3,FALSE,0
"18","sona-29975",36,"receiver","red",0.2,1,2,FALSE,1
"19","sona-29975",38,"receiver","red",0.2,3,3,FALSE,0
"20","sona-29975",40,"receiver","red",0.2,2,7,TRUE,1
"21","sona-29975",42,"receiver","red",0.2,0,2,FALSE,1
"22","sona-29975",44,"receiver","red",0.2,1,4,FALSE,1
"23","sona-29975",46,"receiver","red",0.2,3,4,FALSE,1
"24","sona-29975",48,"receiver","red",0.2,1,8,TRUE,1
"25","sona-29975",50,"receiver","red",0.2,1,1,FALSE,0
"26","sona-29975",52,"receiver","red",0.2,4,4,FALSE,0
"27","sona-29975",54,"receiver","red",0.2,3,3,FALSE,0
"28","sona-29975",56,"receiver","red",0.2,2,2,FALSE,0
"29","sona-29975",58,"receiver","red",0.2,1,3,FALSE,1
"30","sona-29975",60,"receiver","red",0.2,3,3,FALSE,0
"31","sona-29975",62,"receiver","red",0.2,2,2,FALSE,0
"32","sona-29975",64,"receiver","red",0.2,1,5,FALSE,1
"33","sona-29975",66,"receiver","red",0.2,1,1,TRUE,0
"34","sona-29975",68,"receiver","red",0.2,2,3,FALSE,1
"35","sona-29975",70,"receiver","red",0.2,2,5,FALSE,1
"36","sona-29975",72,"receiver","red",0.2,1,1,TRUE,0
"37","sona-29975",74,"receiver","red",0.2,5,3,FALSE,1
"38","sona-29975",76,"receiver","red",0.2,2,1,TRUE,1
"39","sona-29975",78,"receiver","red",0.2,3,10,TRUE,1
"40","sona-29975",80,"receiver","red",0.2,3,3,FALSE,0
"41","sona-29975",82,"receiver","red",0.2,1,3,FALSE,1
"42","sona-29975",84,"receiver","red",0.2,1,2,TRUE,1
"43","sona-29975",86,"receiver","red",0.2,1,2,FALSE,1
"44","sona-29975",88,"receiver","red",0.2,2,3,FALSE,1
"45","sona-29975",90,"receiver","red",0.2,3,10,TRUE,1
"46","sona-29975",92,"receiver","red",0.2,5,5,FALSE,0
"47","sona-29975",94,"receiver","red",0.2,1,2,FALSE,1
"48","sona-29975",96,"receiver","red",0.2,2,2,TRUE,0
"49","sona-29975",98,"receiver","red",0.2,3,3,FALSE,0
"50","sona-29975",100,"receiver","red",0.2,3,3,FALSE,0
"51","sona-27711",1,"receiver","red",0.2,5,5,TRUE,0
"52","sona-27711",3,"receiver","red",0.2,3,2,TRUE,1
"53","sona-27711",5,"receiver","red",0.2,2,2,FALSE,0
"54","sona-27711",7,"receiver","red",0.2,1,2,FALSE,1
"55","sona-27711",9,"receiver","red",0.2,1,3,FALSE,1
"56","sona-27711",11,"receiver","red",0.2,2,2,FALSE,0
"57","sona-27711",13,"receiver","red",0.2,3,3,TRUE,0
"58","sona-27711",15,"receiver","red",0.2,2,7,TRUE,1
"59","sona-27711",17,"receiver","red",0.2,2,3,FALSE,1
"60","sona-27711",19,"receiver","red",0.2,3,7,FALSE,1
"61","sona-27711",21,"receiver","red",0.2,1,3,FALSE,1
