"","subjID","trialNumber","role","util","p","k","ksay","callBS","lie"
"1","sona-29975",1,"sender","red",0.2,3,7,FALSE,1
"2","sona-29975",3,"sender","red",0.2,5,7,FALSE,1
"3","sona-29975",5,"sender","red",0.2,2,2,FALSE,0
"4","sona-29975",7,"sender","red",0.2,9,9,TRUE,0
"5","sona-29975",9,"sender","red",0.2,1,1,FALSE,0
"6","sona-29975",11,"sender","red",0.2,2,3,FALSE,1
"7","sona-29975",13,"sender","red",0.2,4,6,FALSE,1
"8","sona-29975",15,"sender","red",0.2,3,4,FALSE,1
"9","sona-29975",17,"sender","red",0.2,1,1,FALSE,0
"10","sona-29975",19,"sender","red",0.2,5,8,TRUE,1
"11","sona-29975",21,"sender","red",0.2,1,1,FALSE,0
"12","sona-29975",23,"sender","red",0.2,4,4,TRUE,0
"13","sona-29975",25,"sender","red",0.2,7,7,TRUE,0
"14","sona-29975",27,"sender","red",0.2,4,4,TRUE,0
"15","sona-29975",29,"sender","red",0.2,1,1,FALSE,0
"16","sona-29975",31,"sender","red",0.2,1,1,FALSE,0
"17","sona-29975",33,"sender","red",0.2,0,0,FALSE,0
"18","sona-29975",35,"sender","red",0.2,5,5,TRUE,0
"19","sona-29975",37,"sender","red",0.2,2,2,FALSE,0
"20","sona-29975",39,"sender","red",0.2,2,2,FALSE,0
"21","sona-29975",41,"sender","red",0.2,2,2,FALSE,0
"22","sona-29975",43,"sender","red",0.2,5,6,TRUE,1
"23","sona-29975",45,"sender","red",0.2,2,2,FALSE,0
"24","sona-29975",47,"sender","red",0.2,2,1,FALSE,1
"25","sona-29975",49,"sender","red",0.2,0,0,FALSE,0
"26","sona-29975",51,"sender","red",0.2,2,2,TRUE,0
"27","sona-29975",53,"sender","red",0.2,1,1,FALSE,0
"28","sona-29975",55,"sender","red",0.2,3,3,FALSE,0
"29","sona-29975",57,"sender","red",0.2,1,1,FALSE,0
"30","sona-29975",59,"sender","red",0.2,3,7,TRUE,1
"31","sona-29975",61,"sender","red",0.2,6,9,TRUE,1
"32","sona-29975",63,"sender","red",0.2,3,3,FALSE,0
"33","sona-29975",65,"sender","red",0.2,2,2,FALSE,0
"34","sona-29975",67,"sender","red",0.2,3,6,TRUE,1
"35","sona-29975",69,"sender","red",0.2,2,5,FALSE,1
"36","sona-29975",71,"sender","red",0.2,3,7,TRUE,1
"37","sona-29975",73,"sender","red",0.2,4,6,FALSE,1
"38","sona-29975",75,"sender","red",0.2,1,1,FALSE,0
"39","sona-29975",77,"sender","red",0.2,3,4,TRUE,1
"40","sona-29975",79,"sender","red",0.2,2,3,FALSE,1
"41","sona-29975",81,"sender","red",0.2,10,9,TRUE,1
"42","sona-29975",83,"sender","red",0.2,3,3,FALSE,0
"43","sona-29975",85,"sender","red",0.2,1,1,FALSE,0
"44","sona-29975",87,"sender","red",0.2,4,5,FALSE,1
"45","sona-29975",89,"sender","red",0.2,3,8,FALSE,1
"46","sona-29975",91,"sender","red",0.2,1,1,FALSE,0
"47","sona-29975",93,"sender","red",0.2,2,2,FALSE,0
"48","sona-29975",95,"sender","red",0.2,8,8,FALSE,0
"49","sona-29975",97,"sender","red",0.2,2,2,FALSE,0
"50","sona-29975",99,"sender","red",0.2,2,2,FALSE,0
"51","sona-27711",2,"sender","red",0.2,3,3,FALSE,0
"52","sona-27711",4,"sender","red",0.2,3,2,FALSE,1
"53","sona-27711",6,"sender","red",0.2,3,4,FALSE,1
"54","sona-27711",8,"sender","red",0.2,1,1,FALSE,0
"55","sona-27711",10,"sender","red",0.2,1,1,FALSE,0
"56","sona-27711",12,"sender","red",0.2,9,9,FALSE,0
"57","sona-27711",14,"sender","red",0.2,1,2,FALSE,1
"58","sona-27711",16,"sender","red",0.2,1,3,TRUE,1
"59","sona-27711",18,"sender","red",0.2,1,1,FALSE,0
"60","sona-27711",20,"sender","red",0.2,1,2,FALSE,1
"61","sona-27711",22,"sender","red",0.2,1,4,FALSE,1
"62","sona-27711",24,"sender","red",0.2,2,2,FALSE,0
